Variable,oMEDA,Abs_oMEDA
3071,0.1133797,0.1133797
3072,10.90952,10.90952
3073,-0.2815382,0.2815382
3074,-0.16901,0.16901
3075,-0.4008598,0.4008598
3076,2.211229,2.211229
3077,-0.0005666491,0.0005666491
3078,-0.5872207,0.5872207
3079,39.319,39.319
3080,0.04476556,0.04476556
3081,0.5394911,0.5394911
3082,0.5264825,0.5264825
3083,0.004182716,0.004182716
3084,0.3394719,0.3394719
3085,-0.0258547,0.0258547
3086,-0.1784454,0.1784454
3087,0.04426939,0.04426939
3088,0.07379034,0.07379034
3089,-2.580435,2.580435
3090,-0.4027139,0.4027139
3091,0.534229,0.534229
3092,0.01654794,0.01654794
3093,0.002168882,0.002168882
3094,0.05984784,0.05984784
3095,-4.918839,4.918839
3096,-0.01441616,0.01441616
3097,-0.05698125,0.05698125
3098,0.3184858,0.3184858
3099,-0.09736267,0.09736267
3100,-0.1078188,0.1078188
3101,-0.003409093,0.003409093
3102,0.1005678,0.1005678
3103,-0.7413693,0.7413693
3104,-0.001099504,0.001099504
3105,0.9923626,0.9923626
3106,3.167869,3.167869
3107,-10.96129,10.96129
3108,-3.43308,3.43308
3109,-1.80523,1.80523
3110,-1.647756,1.647756
3111,-5.060512,5.060512
3112,5.401098,5.401098
3113,2.384616,2.384616
3114,10.53313,10.53313
3115,4.263307,4.263307
3116,0.8427382,0.8427382
3117,-0.1473223,0.1473223
3118,3.785805,3.785805
3119,-0.1593849,0.1593849
3120,-6.156726,6.156726
3121,2.101165,2.101165
3122,3.695062,3.695062
3123,3.874874,3.874874
3124,20.74519,20.74519
3125,4.925367,4.925367
3126,1.01274,1.01274
3127,33.91934,33.91934
3128,-45.55265,45.55265
3129,-2.232109,2.232109
3130,-1.496324,1.496324
3131,1.421864,1.421864
3132,1.169214,1.169214
3133,-4.989737,4.989737
3134,-15.6955,15.6955
3135,10.24608,10.24608
3136,-1.122459,1.122459
3137,6.974977,6.974977
3138,4.783339,4.783339
3139,6.783121,6.783121
3140,0.008345075,0.008345075
3141,-1.772669,1.772669
3142,-7.939675,7.939675
3143,0.1048225,0.1048225
3144,-0.1963883,0.1963883
3145,0.4531409,0.4531409
3146,0.01289834,0.01289834
3147,0.7085645,0.7085645
3148,0.7341394,0.7341394
3149,-0.4349699,0.4349699
