Variable,Layer,Head,TokenOrigenIdx,TokenDestinoIdx,TokenOrigen,TokenDestino,Efecto_ASCA,Importancia_ASCA
250,1,4,8,2,[SEP],Token 2,0.0223713288433419,0.0050047635421694
251,1,4,8,3,[SEP],Token 3,-0.0735236500469856,0.0540572711623161
252,1,4,8,4,[SEP],Token 4,0.0143106987174036,0.00204796097780296
253,1,4,8,5,[SEP],Token 5,-0.0558637859738897,0.0312076258333656
254,1,4,8,6,[SEP],Token 6,0.0291253740780887,0.00848287415188602
255,1,4,8,7,[SEP],.,-0.00762239621681601,0.000581009240861311
256,1,4,8,8,[SEP],[SEP],-0.00762237593793516,0.00058100614939213
257,1,5,1,1,[CLS],[CLS],0.105887531394183,0.112121693047541
258,1,5,1,2,[CLS],Token 2,0.0156367664375415,0.00244508464622223
259,1,5,1,3,[CLS],Token 3,-0.0821581149360992,0.0674995584985329
260,1,5,1,4,[CLS],Token 4,0.0068280664711515,0.000466224917344633
261,1,5,1,5,[CLS],Token 5,0.101500267718255,0.103023043468774
262,1,5,1,6,[CLS],Token 6,-0.272576173261949,0.742977702301281
263,1,5,1,7,[CLS],.,0.105887156685191,0.112120899508742
264,1,5,1,8,[CLS],[SEP],0.105887039324271,0.112120650968597
265,1,5,2,1,Token 2,[CLS],-0.160294748222617,0.256944063077521
266,1,5,2,2,Token 2,Token 2,-0.0321461897879448,0.0103337751788257
267,1,5,2,3,Token 2,Token 3,0.0698333662693988,0.0487669904451601
268,1,5,2,4,Token 2,Token 4,-0.0747525158139235,0.0558793862051088
269,1,5,2,5,Token 2,Token 5,-0.116848573480346,0.136535891243918
270,1,5,2,6,Token 2,Token 6,0.235923304231059,0.556598054793008
271,1,5,2,7,Token 2,.,-0.0973905784699427,0.0948492477471007
272,1,5,2,8,Token 2,[SEP],-0.0711481764897138,0.0506206301781147
273,1,5,3,1,Token 3,[CLS],0.00716246071113851,0.000513008434386027
274,1,5,3,2,Token 3,Token 2,0.0343427613785308,0.0117942525910271
275,1,5,3,3,Token 3,Token 3,-0.0437681616327887,0.0191565197271392
276,1,5,3,4,Token 3,Token 4,0.0606968960107195,0.036841131853361
277,1,5,3,5,Token 3,Token 5,-0.134467679034986,0.180815567050561
278,1,5,3,6,Token 3,Token 6,-0.0893041206770517,0.0797522596990143
279,1,5,3,7,Token 3,.,-0.068269400121525,0.0466071099295288
280,1,5,3,8,Token 3,[SEP],0.263927445288546,0.696576963765382
281,1,5,4,1,Token 4,[CLS],0.00425641545552802,0.000181170725300578
282,1,5,4,2,Token 4,Token 2,-0.0023166948476471,5.36707501711461e-05
283,1,5,4,3,Token 4,Token 3,-0.0408870274704387,0.0167174901536841
284,1,5,4,4,Token 4,Token 4,-0.0115657284156035,0.00133766073783498
285,1,5,4,5,Token 4,Token 5,-0.16577293093953,0.274806646322821
286,1,5,4,6,Token 4,Token 6,0.192377230957277,0.370089989907895
287,1,5,4,7,Token 4,.,0.0187387227709034,0.00351139731084772
288,1,5,4,8,Token 4,[SEP],0.0143320439574529,0.00205407483998362
289,1,5,5,1,Token 5,[CLS],-0.222704043695324,0.495970910782486
290,1,5,5,2,Token 5,Token 2,0.115661410395392,0.133775618546513
291,1,5,5,3,Token 5,Token 3,-0.269460180310649,0.726087887730471
292,1,5,5,4,Token 5,Token 4,0.177259284780987,0.314208540410672
293,1,5,5,5,Token 5,Token 5,0.0328866569558117,0.0108153220572924
294,1,5,5,6,Token 5,Token 6,0.306455651138723,0.939150661148585
295,1,5,5,7,Token 5,.,0.329311329434082,1.08445951693642
296,1,5,5,8,Token 5,[SEP],0.193912570924573,0.376020851625774
297,1,5,6,1,Token 6,[CLS],-0.596985603199221,3.56391810427137
298,1,5,6,2,Token 6,Token 2,0.430590990238551,1.85408600874616
299,1,5,6,3,Token 6,Token 3,0.223643858427851,0.500165754124964
300,1,5,6,4,Token 6,Token 4,0.507274349540149,2.57327265701381
301,1,5,6,5,Token 6,Token 5,0.00857712102053354,0.000735670050008783
302,1,5,6,6,Token 6,Token 6,0.425443508744217,1.81002179132591
303,1,5,6,7,Token 6,.,0.306579319406318,0.939908790876415
304,1,5,6,8,Token 6,[SEP],0.120028611082247,0.144068674783332
305,1,5,7,1,.,[CLS],-0.184559315666577,0.340621409993152
306,1,5,7,2,.,Token 2,-0.0620318255714546,0.0384794738372737
307,1,5,7,3,.,Token 3,0.132542403392094,0.175674886969527
308,1,5,7,4,.,Token 4,-0.0288837556320791,0.00834271339413664
309,1,5,7,5,.,Token 5,-0.20790624460414,0.432250065453966
310,1,5,7,6,.,Token 6,0.166765693258509,0.27810796447991
311,1,5,7,7,.,.,-0.184559017607484,0.340620309802397
312,1,5,7,8,.,[SEP],-0.18455915827196,0.340620829020544
313,1,5,8,1,[SEP],[CLS],-0.333776061102063,1.11406458964808
314,1,5,8,2,[SEP],Token 2,-0.324557082666904,1.05337299909252
315,1,5,8,3,[SEP],Token 3,0.251020069798691,0.630110754417398
316,1,5,8,4,[SEP],Token 4,-0.0182176292211904,0.00331882014440769
317,1,5,8,5,[SEP],Token 5,0.0897291379679231,0.0805131820046658
318,1,5,8,6,[SEP],Token 6,0.19054994721678,0.363092823843177
319,1,5,8,7,[SEP],.,-0.33377772410669,1.11407569109842
320,1,5,8,8,[SEP],[SEP],-0.333777048265896,1.11407117949094
321,1,6,1,1,[CLS],[CLS],0.228016604012359,0.519915717053288
322,1,6,1,2,[CLS],Token 2,0.0135239337316727,0.00182896783578676
323,1,6,1,3,[CLS],Token 3,-0.196174095484374,0.384842757391122
324,1,6,1,4,[CLS],Token 4,0.00616554268786574,0.000380139166358947
325,1,6,1,5,[CLS],Token 5,-0.152741040880562,0.233298255692777
326,1,6,1,6,[CLS],Token 6,-0.45951238560659,2.11151632525859
327,1,6,1,7,[CLS],.,0.228016691785329,0.519916117327257
328,1,6,1,8,[CLS],[SEP],0.228016343869521,0.519914530716234
329,1,6,2,1,Token 2,[CLS],-0.00647889811811391,0.000419761208249
330,1,6,2,2,Token 2,Token 2,-0.0717716936872505,0.051511760147365
