Method,Token,MeanImportancePct,MaxImportancePct,Count
PLS-DA,dialogue,10.6015531293501,10.6958745899772,2
PLS-DA,disliked,13.9982047944033,13.9982047944033,1
PLS-DA,dreadful,13.3815620181829,13.3815620181829,1
PLS-DA,dull,14.3346787941043,14.3346787941043,1
PLS-DA,dumb,19.5507684005634,19.5507684005634,1
PLS-DA,empty,11.631864158945,11.631864158945,1
PLS-DA,ending,11.1726824514845,11.4362487794733,2
PLS-DA,enjoyable,9.49478887735864,9.49478887735864,1
PLS-DA,enjoyed,13.0750084513572,13.0750084513572,1
PLS-DA,felt,13.1155178392886,16.2031523505777,10
PLS-DA,film,10.7915862293094,14.6566303740978,6
PLS-DA,final,10.5627426815959,10.6615324932152,2
PLS-DA,flat,13.5055814830374,13.5055814830374,1
PLS-DA,found,14.0793697697776,14.9288132893022,4
PLS-DA,fresh,15.0919055391153,15.0919055391153,1
PLS-DA,gave,12.2265150371755,12.6169628296746,2
PLS-DA,good,17.4036694161144,17.4036694161144,1
PLS-DA,hated,16.392566106645,17.0790834799385,2
PLS-DA,i,12.3263374159165,13.8108116916972,10
PLS-DA,it,14.5366784390315,15.2991314856427,2
PLS-DA,liked,16.6975861053116,16.6975861053116,1
PLS-DA,looked,15.1315860997933,15.2886559314585,2
PLS-DA,loved,15.0441944340885,15.0441944340885,1
PLS-DA,lovely,12.5401232984165,12.5401232984165,1
PLS-DA,movie,10.6904829880484,14.3603958420455,10
PLS-DA,moving,11.7456333989274,11.7456333989274,1
PLS-DA,natural,15.7205746731868,15.7205746731868,1
PLS-DA,nice,11.6856684198346,11.6856684198346,1
PLS-DA,overall,11.5893549576325,12.1238817526652,2
PLS-DA,pacing,11.3392123658275,11.4747188226039,2
PLS-DA,painful,10.1426323880215,10.1426323880215,1
PLS-DA,performances,12.1736887223929,12.4380851532858,2
PLS-DA,pleasant,11.921951672094,11.921951672094,1
PLS-DA,plot,11.5817492000011,11.9557208403835,2
PLS-DA,poor,13.4810885225,13.4810885225,1
PLS-DA,poorly,11.6883508004167,11.6883508004167,1
PLS-DA,quite,10.3687506195087,11.2977177882285,4
PLS-DA,really,12.7326080365336,12.7498266297596,2
PLS-DA,satisfying,11.9225334426214,11.9225334426214,1
PLS-DA,scene,10.8202847452817,11.1818848640322,2
PLS-DA,script,9.96011294302362,10.1431051550138,2
PLS-DA,sharp,15.4332955633981,15.4332955633981,1
PLS-DA,smart,16.3751255910429,16.3751255910429,1
PLS-DA,soundtrack,14.3041608595576,14.6500701332947,2
PLS-DA,stale,17.5665547863043,17.5665547863043,1
